dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,organization_or_owner,resource_found_by,initial_version_name,is_valid_v_0.1.0,is_valid_v_0.2.0,is_valid_v_0.2.1,is_valid_v_0.2.2,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5c8f60918b4c411b3813e558,Arbres en open data en France - par namR,arbres-en-open-data-en-france-par-namr,https://demo.data.gouv.fr/fr/datasets/arbres-en-open-data-en-france-par-namr/,4b8881a3-e674-4718-859b-ab0ade24c0ff,Référentiel arbre namR - GEOJSON,https://static.data.gouv.fr/resources/arbres-en-open-data-en-france-par-nam-r/20190319-185255/20190318-referentiel-arbre-namr.geojson,2021-02-24T09:27:01.165000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5369a31ba3a729239d2069af,Unlimited Cities - Evreux Saint-Louis --,unlimited-cities-evreux-saint-louis,https://demo.data.gouv.fr/fr/datasets/unlimited-cities-evreux-saint-louis/,c3af8fa0-55f5-4a18-a468-4e550ee8713c,Unlimited Cities - Evreux Saint-Louis --,https://www.data.gouv.fr/storage/f/2014-03-19T12-09-20/1310vslevreux-opendatav2.xls,2014-03-19T11:09:21.065000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5369a31ba3a729239d2069b1,Unlimited Cities - Montpellier la Pompignane --,unlimited-cities-montpellier-la-pompignane,https://demo.data.gouv.fr/fr/datasets/unlimited-cities-montpellier-la-pompignane/,a64f1002-87c3-4995-a6e3-e46d3b6de04d,Unlimited Cities - Montpellier la Pompignane --,https://www.data.gouv.fr/storage/f/2014-01-23T16-07-16/1309VslMontpellier_OpenDatav2.xls,2014-03-19T10:07:04.915000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
58aedbf1c751df30fe824aff,Périmètre des Schémas de cohérence territoriale dans le Gard,perimetre-des-schemas-de-coherence-territoriale-dans-le-gard,https://demo.data.gouv.fr/fr/datasets/perimetre-des-schemas-de-coherence-territoriale-dans-le-gard/,201125ae-ba85-4b92-ab7b-ee395bd8a8af,N_SCOT_ZSUP_030.shp (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/links/5e2a21a3fa4268bc257628ff/downloads/5e45f566e9f8856cecd221c5?format=SHP&projection=WGS84,2020-02-14T06:41:53.675000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
58aedbf1c751df30fe824aff,Périmètre des Schémas de cohérence territoriale dans le Gard,perimetre-des-schemas-de-coherence-territoriale-dans-le-gard,https://demo.data.gouv.fr/fr/datasets/perimetre-des-schemas-de-coherence-territoriale-dans-le-gard/,5baf95ef-b097-4c49-b395-a536fd0a7550,N_SCOT_ZSUP_030.shp (export GeoJSON),https://transcode.geo.data.gouv.fr/links/5e2a21a3fa4268bc257628ff/downloads/5e45f566e9f8856cecd221c5?format=GeoJSON&projection=WGS84,2020-02-14T06:41:53.674000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
58aedbf1c751df30fe824aff,Périmètre des Schémas de cohérence territoriale dans le Gard,perimetre-des-schemas-de-coherence-territoriale-dans-le-gard,https://demo.data.gouv.fr/fr/datasets/perimetre-des-schemas-de-coherence-territoriale-dans-le-gard/,9e740af1-6dba-4243-960f-c9492015ae43,N_SCOT_ZSUP_030.shp (archive),https://files.geo.data.gouv.fr/link-proxy/atom.geo-ide.developpement-durable.gouv.fr/2020-02-14/5e45f566e9f8856cecd221c5/dataset-1581643110172.zip/dataset/n-scot-zsup-030.zip,2020-02-14T06:41:53.674000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
56ec0a47c751df22b8cc7153,Prescription relative au patrimoine végétal et bâti - Espace boisé classé du PLU de la Métropole de Lyon,prescription-relative-au-patrimoine-vegetal-et-bati-espace-boise-classe-du-plu-de-la-metropole-de-lyon,https://demo.data.gouv.fr/fr/datasets/prescription-relative-au-patrimoine-vegetal-et-bati-espace-boise-classe-du-plu-de-la-metropole-de-lyon/,2348768a-dbaa-4ad4-a8ec-fa1528cd9dc3,Prescriptions relatives au patrimoine végétal et bâti - Espace boisé classé du P.L.U. du Grand Lyon(OGC:WFS),https://download.data.grandlyon.com/ws/grandlyon/pos_opposable.posboise/all.json,2021-08-13T11:41:59.944000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
56ec0a47c751df22b8cc7153,Prescription relative au patrimoine végétal et bâti - Espace boisé classé du PLU de la Métropole de Lyon,prescription-relative-au-patrimoine-vegetal-et-bati-espace-boise-classe-du-plu-de-la-metropole-de-lyon,https://demo.data.gouv.fr/fr/datasets/prescription-relative-au-patrimoine-vegetal-et-bati-espace-boise-classe-du-plu-de-la-metropole-de-lyon/,5e599001-4753-435f-84f1-4633c57ef53e,Prescriptions relatives au patrimoine végétal et bâti - Espace boisé classé du P.L.U. du Grand Lyon(OGC:WFS),https://download.data.grandlyon.com/ws/grandlyon/pos_opposable.posboise/all.csv,2021-08-13T11:41:59.943000,,grand-lyon,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
56ec0a47c751df22b8cc7153,Prescription relative au patrimoine végétal et bâti - Espace boisé classé du PLU de la Métropole de Lyon,prescription-relative-au-patrimoine-vegetal-et-bati-espace-boise-classe-du-plu-de-la-metropole-de-lyon,https://demo.data.gouv.fr/fr/datasets/prescription-relative-au-patrimoine-vegetal-et-bati-espace-boise-classe-du-plu-de-la-metropole-de-lyon/,f09a0395-8934-41e0-91fc-57d5ea3d18b9,Prescriptions relatives au patrimoine végétal et bâti - Espace boisé classé du P.L.U. du Grand Lyon(OGC:WFS),https://download.data.grandlyon.com/wfs/grandlyon?SERVICE=WFS&VERSION=2.0.0&request=GetFeature&typename=pos_opposable.posboise&outputFormat=geojson&SRSNAME=EPSG:2154,2021-08-13T11:41:59.943000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
56ec0a47c751df22b8cc7153,Prescription relative au patrimoine végétal et bâti - Espace boisé classé du PLU de la Métropole de Lyon,prescription-relative-au-patrimoine-vegetal-et-bati-espace-boise-classe-du-plu-de-la-metropole-de-lyon,https://demo.data.gouv.fr/fr/datasets/prescription-relative-au-patrimoine-vegetal-et-bati-espace-boise-classe-du-plu-de-la-metropole-de-lyon/,5fb95377-b3b9-4674-8c2c-896803de53ee,Prescriptions relatives au patrimoine végétal et bâti - Espace boisé classé du P.L.U. du Grand Lyon(OGC:WFS),https://download.data.grandlyon.com/wfs/grandlyon?SERVICE=WFS&VERSION=2.0.0&request=GetFeature&typename=pos_opposable.posboise&outputFormat=SHAPEZIP&SRSNAME=EPSG:2154,2021-08-13T11:41:59.943000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5dd65174634f4148dbf585fc,Sentiers nature de la Métropole de Lyon,sentiers-nature-de-la-metropole-de-lyon,https://demo.data.gouv.fr/fr/datasets/sentiers-nature-de-la-metropole-de-lyon/,4a352c9b-8c3b-4ccb-809f-3f6ac8eb8ee9,Sentiers nature de la Métropole de Lyon (OGC:WFS),https://download.data.grandlyon.com/ws/grandlyon/evg_esp_veg.evgsentiernature/all.json,2021-08-13T11:41:44.687000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5dd65174634f4148dbf585fc,Sentiers nature de la Métropole de Lyon,sentiers-nature-de-la-metropole-de-lyon,https://demo.data.gouv.fr/fr/datasets/sentiers-nature-de-la-metropole-de-lyon/,ed269540-9770-4fc0-9059-6a48408b168e,Sentiers nature de la Métropole de Lyon (OGC:WFS),https://download.data.grandlyon.com/ws/grandlyon/evg_esp_veg.evgsentiernature/all.csv,2021-08-13T11:41:44.687000,,grand-lyon,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5dd65174634f4148dbf585fc,Sentiers nature de la Métropole de Lyon,sentiers-nature-de-la-metropole-de-lyon,https://demo.data.gouv.fr/fr/datasets/sentiers-nature-de-la-metropole-de-lyon/,4edb206e-9837-4615-8101-ff08821cfdef,Sentiers nature de la Métropole de Lyon (OGC:WFS),https://download.data.grandlyon.com/wfs/grandlyon?SERVICE=WFS&VERSION=2.0.0&request=GetFeature&typename=evg_esp_veg.evgsentiernature&outputFormat=geojson&SRSNAME=EPSG:2154,2021-08-13T11:41:44.687000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5dd65174634f4148dbf585fc,Sentiers nature de la Métropole de Lyon,sentiers-nature-de-la-metropole-de-lyon,https://demo.data.gouv.fr/fr/datasets/sentiers-nature-de-la-metropole-de-lyon/,e33ec14f-6dd0-48fa-b8db-3921ff0e1b50,Sentiers nature de la Métropole de Lyon (OGC:WFS),https://download.data.grandlyon.com/wfs/grandlyon?SERVICE=WFS&VERSION=2.0.0&request=GetFeature&typename=evg_esp_veg.evgsentiernature&outputFormat=SHAPEZIP&SRSNAME=EPSG:2154,2021-08-13T11:41:44.686000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5d2ed9ef634f41662026d476,Données direction des espaces publics,donnees-direction-des-espaces-publics,https://demo.data.gouv.fr/fr/datasets/donnees-direction-des-espaces-publics/,4703b97e-3c5b-40f9-98a6-30e968eefbe0,donnees-dep-2017.csv,https://static.data.gouv.fr/resources/donnees-direction-des-espaces-publics/20190717-102033/donnees-dep-2017.csv,2019-07-17T10:20:36.504000,,les-lilas,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
602e7df208e50d3d3b2f2e33,Attributs des arbres urbains de la Ville de Baugé-en-Anjou (2020),attributs-des-arbres-urbains-de-la-ville-de-bauge-en-anjou-2020,https://demo.data.gouv.fr/fr/datasets/attributs-des-arbres-urbains-de-la-ville-de-bauge-en-anjou-2020/,70a1aee0-2075-4568-afd1-d01a0c06462b,Baugé-en-Anjou_arbres_urbains_2020,https://static.data.gouv.fr/resources/attributs-des-arbres-urbains-de-la-ville-de-bauge-en-anjou/20210218-155803/workflow-132898-replace-584337-1-.csv,2021-09-07T10:00:07.931000,,bauge-en-anjou,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
602e7df208e50d3d3b2f2e33,Attributs des arbres urbains de la Ville de Baugé-en-Anjou (2020),attributs-des-arbres-urbains-de-la-ville-de-bauge-en-anjou-2020,https://demo.data.gouv.fr/fr/datasets/attributs-des-arbres-urbains-de-la-ville-de-bauge-en-anjou-2020/,ce7201b0-756d-4a6f-b17c-db006fad774a,Fiche_descriptive_Baugé-en-Anjou_arbres_urbains_2020,https://static.data.gouv.fr/resources/attributs-des-arbres-urbains-de-la-ville-de-bauge-en-anjou/20210218-160418/groupe-16-fiches-descriptive-jeu-de-donnees-les-arbres-urbains-1-.pdf,2021-09-07T10:00:07.429000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
55f18f3cc751df54351f92ce,Nouvelle-Aquitaine partiel : Projet de Rénovation Urbaine (Projet ANRU) - Communes (surfacique),nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1,https://demo.data.gouv.fr/fr/datasets/nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1/,6f95a9ff-cc3a-419b-ab9f-f5fc15b61791,Capricorne_fiche-Infos.pdf,https://files.geo.data.gouv.fr/link-proxy/atom.geo-ide.developpement-durable.gouv.fr/2020-02-15/5e47463fe9f885636fd23ef4/dataset-1581729342192.zip/documents/capricorne-fiche-infos.pdf,2020-02-28T06:56:32.700000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5c8f60918b4c411b3813e558,Arbres en open data en France - par namR,arbres-en-open-data-en-france-par-namr,https://demo.data.gouv.fr/fr/datasets/arbres-en-open-data-en-france-par-namr/,aaaddd02-206f-4d60-a04c-9a201297a3da,Référentiel arbre namR - CSV,https://static.data.gouv.fr/resources/arbres-en-open-data-en-france/20190319-175338/20190318-referentiel-arbre-namr.csv,2021-02-24T09:27:37.082000,,namr,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5c8f60918b4c411b3813e558,Arbres en open data en France - par namR,arbres-en-open-data-en-france-par-namr,https://demo.data.gouv.fr/fr/datasets/arbres-en-open-data-en-france-par-namr/,1fee9635-92eb-4bd7-81ce-a1952e643b4a,Documentation du référentiel arbre de namR,https://static.data.gouv.fr/resources/arbres-en-open-data-en-france-par-nam-r/20190319-183706/20190318-documentation-referentiel-arbre-namr.pdf,2021-02-24T09:27:46.311000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
602e769382f6b01d4953b641,Arbres urbains,arbres-urbains,https://demo.data.gouv.fr/fr/datasets/arbres-urbains/,feced38e-ca55-43a0-983b-6db0e2632c02,legende-sgl-arbres-urbains.pdf,https://static.data.gouv.fr/resources/arbres-urbains/20210218-174341/legende-sgl-arbres-urbains.pdf,2021-09-07T10:00:05.672000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
602e769382f6b01d4953b641,Arbres urbains,arbres-urbains,https://demo.data.gouv.fr/fr/datasets/arbres-urbains/,96f4164d-956d-4c1c-b161-68724eb0ccdc,sgl-arbres-urbains-wgs84.csv,https://static.data.gouv.fr/resources/arbres-urbains/20210218-172059/sgl-arbres-urbains-wgs84.csv,2021-09-07T10:00:06.260000,,commune-de-saint-germain-en-laye,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
602e769382f6b01d4953b641,Arbres urbains,arbres-urbains,https://demo.data.gouv.fr/fr/datasets/arbres-urbains/,13add5f3-d3db-407a-8a72-a069379a2e44,sgl-arbres-urbains-wgs84.geojson,https://static.data.gouv.fr/resources/arbres-urbains/20210218-171732/sgl-arbres-urbains-wgs84.geojson,2021-09-07T10:00:06.884000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5d2c26dd6f4441133e36e39b,DONNEES - ENVIRONNEMENT - Arbres remarquables- juin 2019 - Département du Bas-Rhin (67),donnees-environnement-arbres-remarquables-juin-2019-departement-du-bas-rhin-67,https://demo.data.gouv.fr/fr/datasets/donnees-environnement-arbres-remarquables-juin-2019-departement-du-bas-rhin-67/,219abf57-1602-4049-a652-d61151fbeaf5,Licence-Ouverte-Open-Licence.pdf,https://files.geo.data.gouv.fr/link-proxy/sigeo.bas-rhin.fr/2020-01-24/5e2ab34a5df2f77f20276523/licence-ouverte-open-licence.pdf,2020-01-24T12:46:46.747000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
586baa6fc751df0fda2b7154,Unlimited Cities - Saint-Nazaire,unlimited-cities-saint-nazaire-1,https://demo.data.gouv.fr/fr/datasets/unlimited-cities-saint-nazaire-1/,7165c5f3-eb21-4767-93fc-50fd82fd44de,Unlimited Cities - Saint-Nazaire,https://static.data.gouv.fr/resources/unlimited-cities-saint-nazaire-1/20170103-144630/1609UCPROStNazaire_OpenData.xlsx,2017-01-03T14:46:35.508000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5d2c26dd6f4441133e36e39b,DONNEES - ENVIRONNEMENT - Arbres remarquables- juin 2019 - Département du Bas-Rhin (67),donnees-environnement-arbres-remarquables-juin-2019-departement-du-bas-rhin-67,https://demo.data.gouv.fr/fr/datasets/donnees-environnement-arbres-remarquables-juin-2019-departement-du-bas-rhin-67/,dcd721da-bb09-430e-ad36-7ceca5b5c749,CD67_ENVIRONNEMENT_ARBRES_REMARQUABLES_JUIN_2019 (export GeoJSON),https://transcode.geo.data.gouv.fr/services/5e2a2220fa4268bc257bf7d3/feature-types/cd67:CD67_ENVIRONNEMENT_ARBRES_REMARQUABLES_JUIN_2019?format=GeoJSON&projection=WGS84,2020-01-24T12:46:46.748000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
55f18f3cc751df54351f92ce,Nouvelle-Aquitaine partiel : Projet de Rénovation Urbaine (Projet ANRU) - Communes (surfacique),nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1,https://demo.data.gouv.fr/fr/datasets/nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1/,c15216ba-2a11-400d-9501-183eb180eef0,N_CAPRICORNE_ZSUP_2008_067.TAB (archive),https://files.geo.data.gouv.fr/link-proxy/atom.geo-ide.developpement-durable.gouv.fr/2020-02-15/5e47463fe9f8857e74d23ef1/dataset-1581729342192.zip/dataset/n-capricorne-zsup-2008-067.zip,2020-02-28T06:56:32.696000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
55f18f3cc751df54351f92ce,Nouvelle-Aquitaine partiel : Projet de Rénovation Urbaine (Projet ANRU) - Communes (surfacique),nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1,https://demo.data.gouv.fr/fr/datasets/nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1/,6b7911b9-8d86-49d7-8c82-f73098d992dc,N_CAPRICORNE_ZSUP_2008_067.TAB (export GeoJSON),https://transcode.geo.data.gouv.fr/links/5e2a21effa4268bc2579e3e5/downloads/5e47463fe9f8857e74d23ef1?format=GeoJSON&projection=WGS84,2020-02-28T06:56:32.697000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
55f18f3cc751df54351f92ce,Nouvelle-Aquitaine partiel : Projet de Rénovation Urbaine (Projet ANRU) - Communes (surfacique),nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1,https://demo.data.gouv.fr/fr/datasets/nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1/,44027079-62d0-494e-8e33-3ae381c7d15b,N_CAPRICORNE_ZSUP_2008_067.TAB (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/links/5e2a21effa4268bc2579e3e5/downloads/5e47463fe9f8857e74d23ef1?format=SHP&projection=WGS84,2020-02-28T06:56:32.697000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
55f18f3cc751df54351f92ce,Nouvelle-Aquitaine partiel : Projet de Rénovation Urbaine (Projet ANRU) - Communes (surfacique),nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1,https://demo.data.gouv.fr/fr/datasets/nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1/,102d6447-a10b-400a-aabc-34ffd98ad47f,Capricorne_symptomes.pdf,https://files.geo.data.gouv.fr/link-proxy/atom.geo-ide.developpement-durable.gouv.fr/2020-02-15/5e47463fe9f8851918d23ef5/dataset-1581729342192.zip/documents/capricorne-symptomes.pdf,2020-02-28T06:56:32.698000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
55f18f3cc751df54351f92ce,Nouvelle-Aquitaine partiel : Projet de Rénovation Urbaine (Projet ANRU) - Communes (surfacique),nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1,https://demo.data.gouv.fr/fr/datasets/nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1/,ef3da847-9f52-48e0-833e-29fbae19ad6c,Capricorne_067_AP_2008.PDF,https://files.geo.data.gouv.fr/link-proxy/atom.geo-ide.developpement-durable.gouv.fr/2020-02-15/5e47463fe9f88526a3d23ef2/dataset-1581729342192.zip/documents/capricorne-067-ap-2008.pdf,2020-02-28T06:56:32.699000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
55f18f3cc751df54351f92ce,Nouvelle-Aquitaine partiel : Projet de Rénovation Urbaine (Projet ANRU) - Communes (surfacique),nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1,https://demo.data.gouv.fr/fr/datasets/nouvelle-aquitaine-partiel-projet-de-renovation-urbaine-projet-anru-communes-surfacique-1/,e3e1aab7-b7a5-4cc0-b08a-206c40356b71,Capricorne_AM_20030528.pdf,https://files.geo.data.gouv.fr/link-proxy/atom.geo-ide.developpement-durable.gouv.fr/2020-02-15/5e47463fe9f8853406d23ef3/dataset-1581729342192.zip/documents/capricorne-am-20030528.pdf,2020-02-28T06:56:32.699000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5d2c26dd6f4441133e36e39b,DONNEES - ENVIRONNEMENT - Arbres remarquables- juin 2019 - Département du Bas-Rhin (67),donnees-environnement-arbres-remarquables-juin-2019-departement-du-bas-rhin-67,https://demo.data.gouv.fr/fr/datasets/donnees-environnement-arbres-remarquables-juin-2019-departement-du-bas-rhin-67/,9c00cbe2-f69d-4fa0-8ca6-f37cd17b9b7e,CD67_ENVIRONNEMENT_ARBRES_REMARQUABLES_JUIN_2019 (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/services/5e2a2220fa4268bc257bf7d3/feature-types/cd67:CD67_ENVIRONNEMENT_ARBRES_REMARQUABLES_JUIN_2019?format=SHP&projection=WGS84,2020-01-24T12:46:46.750000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
5369a31ca3a729239d2069b4,Unlimited Cities - Rennes Gare Sud --,unlimited-cities-rennes-gare-sud,https://demo.data.gouv.fr/fr/datasets/unlimited-cities-rennes-gare-sud/,56320130-d95d-41f9-ad23-54b29f763e1b,Unlimited Cities - Rennes Gare Sud,https://www.data.gouv.fr/storage/f/2014-03-19T11-20-05/1210vslrennes-open-datav2.xls,2014-03-19T10:22:20.051000,wrong-file-format,,3 - search request,,False,False,False,False,False,,False,False,False,False,,,NaturalSolutions/schema-arbre,False,False,False
